hardware,turn,lang,model,condition,ever_correct,n
sm_120,1,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,1,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,1,cuda,gpt-oss-120b,0shot,0,160
sm_120,1,cuda,gpt-oss-120b,docinject,42,85
sm_120,1,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,1,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,1,ptx,gpt-oss-120b,0shot,0,160
sm_120,1,ptx,gpt-oss-120b,docinject,1,85
sm_120,1,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,1,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,15,85
sm_120,1,tilelang,gpt-oss-120b,0shot,0,160
sm_120,1,tilelang,gpt-oss-120b,docinject,25,85
sm_120,1,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,14,160
sm_120,1,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,12,85
sm_120,1,triton,gpt-oss-120b,0shot,49,160
sm_120,1,triton,gpt-oss-120b,docinject,28,85
sm_120,2,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,2,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,15,85
sm_120,2,cuda,gpt-oss-120b,0shot,6,160
sm_120,2,cuda,gpt-oss-120b,docinject,59,85
sm_120,2,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,2,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,2,ptx,gpt-oss-120b,0shot,0,160
sm_120,2,ptx,gpt-oss-120b,docinject,2,85
sm_120,2,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,2,160
sm_120,2,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,16,85
sm_120,2,tilelang,gpt-oss-120b,0shot,22,160
sm_120,2,tilelang,gpt-oss-120b,docinject,37,85
sm_120,2,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,16,160
sm_120,2,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,12,85
sm_120,2,triton,gpt-oss-120b,0shot,67,160
sm_120,2,triton,gpt-oss-120b,docinject,35,85
sm_120,3,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,1,160
sm_120,3,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,21,85
sm_120,3,cuda,gpt-oss-120b,0shot,14,160
sm_120,3,cuda,gpt-oss-120b,docinject,62,85
sm_120,3,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,3,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,3,ptx,gpt-oss-120b,0shot,0,160
sm_120,3,ptx,gpt-oss-120b,docinject,2,85
sm_120,3,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,3,160
sm_120,3,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,16,85
sm_120,3,tilelang,gpt-oss-120b,0shot,28,160
sm_120,3,tilelang,gpt-oss-120b,docinject,43,85
sm_120,3,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,18,160
sm_120,3,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,12,85
sm_120,3,triton,gpt-oss-120b,0shot,68,160
sm_120,3,triton,gpt-oss-120b,docinject,35,85
sm_120,4,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,1,160
sm_120,4,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,21,85
sm_120,4,cuda,gpt-oss-120b,0shot,14,160
sm_120,4,cuda,gpt-oss-120b,docinject,62,85
sm_120,4,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,4,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,4,ptx,gpt-oss-120b,0shot,0,160
sm_120,4,ptx,gpt-oss-120b,docinject,2,85
sm_120,4,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,3,160
sm_120,4,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,16,85
sm_120,4,tilelang,gpt-oss-120b,0shot,28,160
sm_120,4,tilelang,gpt-oss-120b,docinject,43,85
sm_120,4,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,18,160
sm_120,4,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,12,85
sm_120,4,triton,gpt-oss-120b,0shot,68,160
sm_120,4,triton,gpt-oss-120b,docinject,35,85
sm_120,5,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,1,160
sm_120,5,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,21,85
sm_120,5,cuda,gpt-oss-120b,0shot,15,160
sm_120,5,cuda,gpt-oss-120b,docinject,66,85
sm_120,5,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,5,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,5,ptx,gpt-oss-120b,0shot,0,160
sm_120,5,ptx,gpt-oss-120b,docinject,2,85
sm_120,5,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,3,160
sm_120,5,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,22,85
sm_120,5,tilelang,gpt-oss-120b,0shot,29,160
sm_120,5,tilelang,gpt-oss-120b,docinject,54,85
sm_120,5,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,31,160
sm_120,5,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,16,85
sm_120,5,triton,gpt-oss-120b,0shot,77,160
sm_120,5,triton,gpt-oss-120b,docinject,48,85
sm_120,6,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,1,160
sm_120,6,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,25,85
sm_120,6,cuda,gpt-oss-120b,0shot,29,160
sm_120,6,cuda,gpt-oss-120b,docinject,68,85
sm_120,6,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,6,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,6,ptx,gpt-oss-120b,0shot,0,160
sm_120,6,ptx,gpt-oss-120b,docinject,2,85
sm_120,6,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,11,160
sm_120,6,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,24,85
sm_120,6,tilelang,gpt-oss-120b,0shot,64,160
sm_120,6,tilelang,gpt-oss-120b,docinject,57,85
sm_120,6,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,39,160
sm_120,6,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,17,85
sm_120,6,triton,gpt-oss-120b,0shot,80,160
sm_120,6,triton,gpt-oss-120b,docinject,51,85
sm_120,7,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,1,160
sm_120,7,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,31,85
sm_120,7,cuda,gpt-oss-120b,0shot,39,160
sm_120,7,cuda,gpt-oss-120b,docinject,70,85
sm_120,7,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,7,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,7,ptx,gpt-oss-120b,0shot,0,160
sm_120,7,ptx,gpt-oss-120b,docinject,4,85
sm_120,7,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,18,160
sm_120,7,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,25,85
sm_120,7,tilelang,gpt-oss-120b,0shot,65,160
sm_120,7,tilelang,gpt-oss-120b,docinject,63,85
sm_120,7,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,39,160
sm_120,7,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,17,85
sm_120,7,triton,gpt-oss-120b,0shot,81,160
sm_120,7,triton,gpt-oss-120b,docinject,52,85
sm_120,8,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,1,160
sm_120,8,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,33,85
sm_120,8,cuda,gpt-oss-120b,0shot,48,160
sm_120,8,cuda,gpt-oss-120b,docinject,72,85
sm_120,8,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,8,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,8,ptx,gpt-oss-120b,0shot,0,160
sm_120,8,ptx,gpt-oss-120b,docinject,4,85
sm_120,8,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,20,160
sm_120,8,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,25,85
sm_120,8,tilelang,gpt-oss-120b,0shot,69,160
sm_120,8,tilelang,gpt-oss-120b,docinject,64,85
sm_120,8,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,40,160
sm_120,8,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,17,85
sm_120,8,triton,gpt-oss-120b,0shot,83,160
sm_120,8,triton,gpt-oss-120b,docinject,53,85
sm_120,9,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,1,160
sm_120,9,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,33,85
sm_120,9,cuda,gpt-oss-120b,0shot,53,160
sm_120,9,cuda,gpt-oss-120b,docinject,72,85
sm_120,9,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,9,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,9,ptx,gpt-oss-120b,0shot,0,160
sm_120,9,ptx,gpt-oss-120b,docinject,5,85
sm_120,9,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,24,160
sm_120,9,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,25,85
sm_120,9,tilelang,gpt-oss-120b,0shot,70,160
sm_120,9,tilelang,gpt-oss-120b,docinject,65,85
sm_120,9,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,40,160
sm_120,9,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,18,85
sm_120,9,triton,gpt-oss-120b,0shot,84,160
sm_120,9,triton,gpt-oss-120b,docinject,53,85
sm_120,10,cuda,Qwen3-Coder-30B-A3B-Instruct,0shot,1,160
sm_120,10,cuda,Qwen3-Coder-30B-A3B-Instruct,docinject,33,85
sm_120,10,cuda,gpt-oss-120b,0shot,66,160
sm_120,10,cuda,gpt-oss-120b,docinject,74,85
sm_120,10,ptx,Qwen3-Coder-30B-A3B-Instruct,0shot,0,160
sm_120,10,ptx,Qwen3-Coder-30B-A3B-Instruct,docinject,0,85
sm_120,10,ptx,gpt-oss-120b,0shot,0,160
sm_120,10,ptx,gpt-oss-120b,docinject,5,85
sm_120,10,tilelang,Qwen3-Coder-30B-A3B-Instruct,0shot,25,160
sm_120,10,tilelang,Qwen3-Coder-30B-A3B-Instruct,docinject,25,85
sm_120,10,tilelang,gpt-oss-120b,0shot,74,160
sm_120,10,tilelang,gpt-oss-120b,docinject,65,85
sm_120,10,triton,Qwen3-Coder-30B-A3B-Instruct,0shot,40,160
sm_120,10,triton,Qwen3-Coder-30B-A3B-Instruct,docinject,18,85
sm_120,10,triton,gpt-oss-120b,0shot,85,160
sm_120,10,triton,gpt-oss-120b,docinject,53,85
