hardware,turn,lang,model,n_timed,geomean_best_speedup
sm_120,2,cuda,Qwen3-Coder-30B-A3B-Instruct,14,0.10823354875589102
sm_120,2,cuda,gpt-oss-120b,48,0.39212357459081704
sm_120,2,ptx,gpt-oss-120b,1,0.928293084903174
sm_120,2,tilelang,Qwen3-Coder-30B-A3B-Instruct,17,0.21003707788993617
sm_120,2,tilelang,gpt-oss-120b,47,0.7801656791397964
sm_120,2,triton,Qwen3-Coder-30B-A3B-Instruct,19,0.7602329690975683
sm_120,2,triton,gpt-oss-120b,53,0.8915109293500304
sm_120,3,cuda,Qwen3-Coder-30B-A3B-Instruct,22,0.1704886452428179
sm_120,3,cuda,gpt-oss-120b,63,0.5769549149446918
sm_120,3,ptx,gpt-oss-120b,1,0.928293084903174
sm_120,3,tilelang,Qwen3-Coder-30B-A3B-Instruct,18,0.230118353359663
sm_120,3,tilelang,gpt-oss-120b,59,0.8305426343742761
sm_120,3,triton,Qwen3-Coder-30B-A3B-Instruct,23,0.8069960852798322
sm_120,3,triton,gpt-oss-120b,64,0.9768711318465322
sm_120,4,cuda,Qwen3-Coder-30B-A3B-Instruct,22,0.17049547351555103
sm_120,4,cuda,gpt-oss-120b,66,0.5760571353452033
sm_120,4,ptx,gpt-oss-120b,1,0.928293084903174
sm_120,4,tilelang,Qwen3-Coder-30B-A3B-Instruct,18,0.230118353359663
sm_120,4,tilelang,gpt-oss-120b,59,0.8305426343742761
sm_120,4,triton,Qwen3-Coder-30B-A3B-Instruct,23,0.8119947366583551
sm_120,4,triton,gpt-oss-120b,65,0.9947794081056918
sm_120,5,cuda,Qwen3-Coder-30B-A3B-Instruct,22,0.17049547351555103
sm_120,5,cuda,gpt-oss-120b,76,0.5850219609399853
sm_120,5,ptx,gpt-oss-120b,2,0.9633214672368443
sm_120,5,tilelang,Qwen3-Coder-30B-A3B-Instruct,24,0.4619757600943208
sm_120,5,tilelang,gpt-oss-120b,71,0.8460927360115613
sm_120,5,triton,Qwen3-Coder-30B-A3B-Instruct,41,0.8416860860242461
sm_120,5,triton,gpt-oss-120b,102,0.9785717302442005
sm_120,6,cuda,Qwen3-Coder-30B-A3B-Instruct,26,0.13821369390734148
sm_120,6,cuda,gpt-oss-120b,92,0.5626856267216126
sm_120,6,ptx,gpt-oss-120b,2,0.9633214672368443
sm_120,6,tilelang,Qwen3-Coder-30B-A3B-Instruct,33,0.5748854837883967
sm_120,6,tilelang,gpt-oss-120b,108,0.886893318308836
sm_120,6,triton,Qwen3-Coder-30B-A3B-Instruct,50,0.8415630209957528
sm_120,6,triton,gpt-oss-120b,112,0.9591855199252795
sm_120,7,cuda,Qwen3-Coder-30B-A3B-Instruct,30,0.2187249774794392
sm_120,7,cuda,gpt-oss-120b,102,0.5969647380539723
sm_120,7,ptx,gpt-oss-120b,4,0.8628840914164944
sm_120,7,tilelang,Qwen3-Coder-30B-A3B-Instruct,41,0.7477314985448549
sm_120,7,tilelang,gpt-oss-120b,117,0.8554842501714401
sm_120,7,triton,Qwen3-Coder-30B-A3B-Instruct,50,0.8614237651389643
sm_120,7,triton,gpt-oss-120b,118,0.9675056823463865
sm_120,8,cuda,Qwen3-Coder-30B-A3B-Instruct,33,0.25154262516544906
sm_120,8,cuda,gpt-oss-120b,112,0.625944943316062
sm_120,8,ptx,gpt-oss-120b,4,0.8628840914164944
sm_120,8,tilelang,Qwen3-Coder-30B-A3B-Instruct,44,0.7513436518168929
sm_120,8,tilelang,gpt-oss-120b,121,0.8642372130561489
sm_120,8,triton,Qwen3-Coder-30B-A3B-Instruct,51,0.8653719268013877
sm_120,8,triton,gpt-oss-120b,121,0.9853540083381472
sm_120,9,cuda,Qwen3-Coder-30B-A3B-Instruct,33,0.26177530846284763
sm_120,9,cuda,gpt-oss-120b,118,0.6042661985972635
sm_120,9,ptx,gpt-oss-120b,5,0.865693794497877
sm_120,9,tilelang,Qwen3-Coder-30B-A3B-Instruct,48,0.7538971418714213
sm_120,9,tilelang,gpt-oss-120b,125,0.8955122095811413
sm_120,9,triton,Qwen3-Coder-30B-A3B-Instruct,52,0.880973052326643
sm_120,9,triton,gpt-oss-120b,123,1.0177866974217271
sm_120,10,cuda,Qwen3-Coder-30B-A3B-Instruct,34,0.24778781315368886
sm_120,10,cuda,gpt-oss-120b,133,0.65473770574089
sm_120,10,ptx,gpt-oss-120b,5,0.865693794497877
sm_120,10,tilelang,Qwen3-Coder-30B-A3B-Instruct,49,0.7582935644272929
sm_120,10,tilelang,gpt-oss-120b,129,0.9023514139787202
sm_120,10,triton,Qwen3-Coder-30B-A3B-Instruct,52,0.8811214003865776
sm_120,10,triton,gpt-oss-120b,124,1.0106972067294173
