task,family,lang,model,n,geomean_speedup,is_primary_32,family_median_speedup,ratio_to_family_median,flag_matmul_conv_gt_1.5x,flag_family_median_outlier_3x
100_HingeLoss,loss,tilelang,Qwen3-Coder-30B-A3B-Instruct,1,1.000155551838123,True,1.000481989919229,0.9996737191829588,False,False
100_HingeLoss,loss,tilelang,gpt-oss-120b,2,1.0003049091964846,True,1.000481989919229,0.9998230045872604,False,False
100_HingeLoss,loss,triton,gpt-oss-120b,1,7.312778735124181,True,1.000481989919229,7.309255747536802,False,True
17_Matmul_with_transposed_B,matmul,cuda,Qwen3-Coder-30B-A3B-Instruct,4,0.029021650313014295,True,0.5414890978144072,0.05359600115709315,False,True
17_Matmul_with_transposed_B,matmul,cuda,gpt-oss-120b,6,0.15996781013875017,True,0.5414890978144072,0.295422033027853,False,True
17_Matmul_with_transposed_B,matmul,tilelang,gpt-oss-120b,8,0.7759799283110271,True,0.5414890978144072,1.4330481101892665,False,False
17_Matmul_with_transposed_B,matmul,triton,Qwen3-Coder-30B-A3B-Instruct,1,1.1542552508030257,True,0.5414890978144072,2.1316315609342906,False,False
17_Matmul_with_transposed_B,matmul,triton,gpt-oss-120b,10,0.9394271062681664,True,0.5414890978144072,1.734895697918835,False,False
19_ReLU,elementwise_activation,cuda,Qwen3-Coder-30B-A3B-Instruct,6,0.9865344406094236,True,1.0002340020093001,0.9863036435750471,False,False
19_ReLU,elementwise_activation,cuda,gpt-oss-120b,10,0.9966811615856525,True,1.0002340020093001,0.996447990753653,False,False
19_ReLU,elementwise_activation,tilelang,Qwen3-Coder-30B-A3B-Instruct,3,0.9964627849709633,True,1.0002340020093001,0.9962296652275756,False,False
19_ReLU,elementwise_activation,tilelang,gpt-oss-120b,8,0.9959104979200376,True,1.0002340020093001,0.9956775073826951,False,False
19_ReLU,elementwise_activation,triton,Qwen3-Coder-30B-A3B-Instruct,10,1.0002223437553075,True,1.0002340020093001,0.999988344473424,False,False
19_ReLU,elementwise_activation,triton,gpt-oss-120b,8,1.0017593789823744,True,1.0002340020093001,1.0015250201153032,False,False
1_Square_matrix_multiplication_,matmul,cuda,Qwen3-Coder-30B-A3B-Instruct,5,0.03159185650401851,True,0.5414890978144072,0.05834255321396418,False,True
1_Square_matrix_multiplication_,matmul,cuda,gpt-oss-120b,8,0.1789197264700056,True,0.5414890978144072,0.33042165981212324,False,True
1_Square_matrix_multiplication_,matmul,tilelang,Qwen3-Coder-30B-A3B-Instruct,5,0.5195531548207808,True,0.5414890978144072,0.9594895943756473,False,False
1_Square_matrix_multiplication_,matmul,tilelang,gpt-oss-120b,10,1.1009340367506175,True,0.5414890978144072,2.033160115677818,False,False
1_Square_matrix_multiplication_,matmul,triton,Qwen3-Coder-30B-A3B-Instruct,9,1.1141906607784169,True,0.5414890978144072,2.0576419087209405,False,False
1_Square_matrix_multiplication_,matmul,triton,gpt-oss-120b,10,1.0683578695724756,True,0.5414890978144072,1.9729997776218389,False,False
21_Sigmoid,elementwise_activation,cuda,gpt-oss-120b,4,1.00289383175353,True,1.0002340020093001,1.0026592074843355,False,False
21_Sigmoid,elementwise_activation,tilelang,gpt-oss-120b,4,1.0004379257358427,True,1.0002340020093001,1.0002038760191445,False,False
21_Sigmoid,elementwise_activation,triton,gpt-oss-120b,5,1.0005850619932306,True,1.0002340020093001,1.0003509778544073,False,False
22_Tanh,elementwise_activation,cuda,gpt-oss-120b,1,0.9805045995264994,True,1.0002340020093001,0.9802752131569535,False,False
22_Tanh,elementwise_activation,tilelang,gpt-oss-120b,1,0.9990643204019654,True,1.0002340020093001,0.9988305920364784,False,False
22_Tanh,elementwise_activation,triton,gpt-oss-120b,5,1.0003069090912409,True,1.0002340020093001,1.0000728900255282,False,False
25_Swish,elementwise_activation,cuda,gpt-oss-120b,2,2.4312491678631596,True,1.0002340020093001,2.430680383769391,False,False
25_Swish,elementwise_activation,tilelang,Qwen3-Coder-30B-A3B-Instruct,1,1.0007646779668682,True,1.0002340020093001,1.000530551807379,False,False
25_Swish,elementwise_activation,triton,gpt-oss-120b,5,2.453624189420396,True,1.0002340020093001,2.453050170751526,False,False
26_GELU_,elementwise_activation,cuda,Qwen3-Coder-30B-A3B-Instruct,5,0.9791512425444242,True,1.0002340020093001,0.9789221727890431,False,False
26_GELU_,elementwise_activation,cuda,gpt-oss-120b,7,1.0004644461870953,True,1.0002340020093001,1.00023039026601,False,False
26_GELU_,elementwise_activation,tilelang,Qwen3-Coder-30B-A3B-Instruct,7,0.992491799657325,True,1.0002340020093001,0.9922596089150916,False,False
26_GELU_,elementwise_activation,tilelang,gpt-oss-120b,6,0.9925620169794965,True,1.0002340020093001,0.9923298098101125,False,False
