chain_id,task,model,sample_index,turn,compiled,correct,gen_status
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,1,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,2,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,3,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,4,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,5,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,6,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,7,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,8,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,9,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,10,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,11,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,12,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,13,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,14,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,15,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,16,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,17,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,18,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,19,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,20,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,21,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,22,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,23,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,24,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,25,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,26,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,27,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,28,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,29,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,30,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,31,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,32,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,33,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,34,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,35,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,36,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,37,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,38,1,0,generated
ptx|0shot|19_ReLU|Qwen/Qwen3-Coder-30B-A3B-Instruct|0,19_ReLU,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,39,1,0,generated
