chain_id,task,model,sample_index,seeded_from_main_experiment,turn,correct,turn_speedup,best_speedup_so_far,gap_vs_eager_x,gap_vs_torch_compile_x
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,1,1,0.9619469216182842,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,2,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,3,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,4,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,5,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,6,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,7,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,8,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,9,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,10,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,11,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,12,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,13,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,14,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,15,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,16,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,17,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,18,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,19,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,20,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,21,0,,0.9619469216182842,-0.03805307838171579,
